date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2025-11-20,Zansec Bond Fund,118.5185,118.5185,118.5185,zansec,extracted,23980054217.56,202331739.08
2025-11-20,Zansec Bond Fund,118.5185,118.5185,118.5185,zansec,extracted,23980054217.56,202331739.08
2025-11-19,Zansec Bond Fund,118.4692,118.4692,118.4692,zansec,extracted,23935051412.62,202036068.55
2025-11-19,,118.4692,118.4692,118.4692,zansec,extracted,23935051412.62,202036068.55
2025-11-19,Zansec Bond Fund,118.4692,118.4692,118.4692,zansec,extracted,23935051412.62,202036068.55
2025-11-19,Zansec Bond Fund,118.4692,118.4692,118.4692,zansec,extracted,23935051412.62,202036068.55
2025-11-18,Zansec Bond Fund,118.4194,118.4194,118.4194,zansec,extracted,23913272862.51,201937122.32
2025-11-18,,118.4194,118.4194,118.4194,zansec,extracted,23913272862.51,201937122.32
2025-11-18,Zansec Bond Fund,118.4194,118.4194,118.4194,zansec,extracted,23913272862.51,201937122.32
2025-11-18,Zansec Bond Fund,118.4194,118.4194,118.4194,zansec,extracted,23913272862.51,201937122.32
2025-11-17,Zansec Bond Fund,118.3706,118.3706,118.3706,zansec,extracted,23886933323.14,201797856.25
2025-11-17,,118.3706,118.3706,118.3706,zansec,extracted,23886933323.14,201797856.25
2025-11-17,Zansec Bond Fund,118.3706,118.3706,118.3706,zansec,extracted,23886933323.14,201797856.25
2025-11-17,Zansec Bond Fund,118.3706,118.3706,118.3706,zansec,extracted,23886933323.14,201797856.25
2025-11-13,Zansec Bond Fund,118.17,118.17,118.17,zansec,extracted,23599672405.91,199709506.69
2025-11-13,,118.17,118.17,118.17,zansec,extracted,23599672405.91,199709506.69
2025-11-13,Zansec Bond Fund,118.17,118.17,118.17,zansec,extracted,23599672405.91,199709506.69
2025-11-13,Zansec Bond Fund,118.17,118.17,118.17,zansec,extracted,23599672405.91,199709506.69
2025-11-12,Zansec Bond Fund,118.1242,118.1242,118.1242,zansec,extracted,23585064485.35,199663273.79
2025-11-12,,118.1242,118.1242,118.1242,zansec,extracted,23585064485.35,199663273.79
2025-11-12,Zansec Bond Fund,118.1242,118.1242,118.1242,zansec,extracted,23585064485.35,199663273.79
2025-11-12,Zansec Bond Fund,118.1242,118.1242,118.1242,zansec,extracted,23585064485.35,199663273.79
2025-11-11,Zansec Bond Fund,117.9642,117.9642,117.9642,zansec,extracted,23625597403.67,200277689.36
2025-11-11,,117.9642,117.9642,117.9642,zansec,extracted,23625597403.67,200277689.36
2025-11-11,Zansec Bond Fund,117.9642,117.9642,117.9642,zansec,extracted,23625597403.67,200277689.36
2025-11-11,Zansec Bond Fund,117.9642,117.9642,117.9642,zansec,extracted,23625597403.67,200277689.36
2025-11-10,Zansec Bond Fund,117.9272,117.9272,117.9272,zansec,extracted,23601818272.59,200138884.61
2025-11-10,,117.9272,117.9272,117.9272,zansec,extracted,23601818272.59,200138884.61
2025-11-10,Zansec Bond Fund,117.9272,117.9272,117.9272,zansec,extracted,23601818272.59,200138884.61
2025-11-10,Zansec Bond Fund,117.9272,117.9272,117.9272,zansec,extracted,23601818272.59,200138884.61
2025-11-07,Zansec Bond Fund,117.8162,117.8162,117.8162,zansec,extracted,23477486126.54,199272138.52
2025-11-07,,117.8162,117.8162,117.8162,zansec,extracted,23477486126.54,199272138.52
2025-11-07,Zansec Bond Fund,117.8162,117.8162,117.8162,zansec,extracted,23477486126.54,199272138.52
2025-11-07,Zansec Bond Fund,117.8162,117.8162,117.8162,zansec,extracted,23477486126.54,199272138.52
2025-11-06,Zansec Bond Fund,117.779,117.779,117.779,zansec,extracted,23370071938.85,198423080.0
2025-11-06,,117.779,117.779,117.779,zansec,extracted,23370071938.85,198423080.0
2025-11-06,Zansec Bond Fund,117.779,117.779,117.779,zansec,extracted,23370071938.85,198423080.0
2025-11-06,Zansec Bond Fund,117.779,117.779,117.779,zansec,extracted,23370071938.85,198423080.0
2025-11-05,Zansec Bond Fund,117.7053,117.7053,117.7053,zansec,extracted,23362972274.35,198487003.34
2025-11-05,,117.7053,117.7053,117.7053,zansec,extracted,23362972274.35,198487003.34
2025-11-05,Zansec Bond Fund,117.7053,117.7053,117.7053,zansec,extracted,23362972274.35,198487003.34
2025-11-05,Zansec Bond Fund,117.7053,117.7053,117.7053,zansec,extracted,23362972274.35,198487003.34
2025-11-04,Zansec Bond Fund,117.7053,117.7053,117.7053,zansec,extracted,23359935543.18,198461203.9
2025-11-04,,117.7053,117.7053,117.7053,zansec,extracted,23359935543.18,198461203.9
2025-11-04,Zansec Bond Fund,117.7053,117.7053,117.7053,zansec,extracted,23359935543.18,198461203.9
2025-11-04,Zansec Bond Fund,117.7053,117.7053,117.7053,zansec,extracted,23359935543.18,198461203.9
2025-11-03,Zansec Bond Fund,117.668,117.668,117.668,zansec,extracted,23203240644.5,197192445.22
2025-11-03,,117.668,117.668,117.668,zansec,extracted,23203240644.5,197192445.22
2025-11-03,Zansec Bond Fund,117.668,117.668,117.668,zansec,extracted,23203240644.5,197192445.22
2025-11-03,Zansec Bond Fund,117.668,117.668,117.668,zansec,extracted,23203240644.5,197192445.22
2025-10-28,Zansec Bond Fund,117.4064,117.4064,117.4064,zansec,extracted,23150672952.5,197184079.85
2025-10-28,,117.4064,117.4064,117.4064,zansec,extracted,23150672952.5,197184079.85
2025-10-28,Zansec Bond Fund,117.4064,117.4064,117.4064,zansec,extracted,23150672952.5,197184079.85
2025-10-28,Zansec Bond Fund,117.4064,117.4064,117.4064,zansec,extracted,23150672952.5,197184079.85
2025-10-27,Zansec Bond Fund,117.3694,117.3694,117.3694,zansec,extracted,23082429872.77,196664802.52
2025-10-27,,117.3694,117.3694,117.3694,zansec,extracted,23082429872.77,196664802.52
2025-10-27,Zansec Bond Fund,117.3694,117.3694,117.3694,zansec,extracted,23082429872.77,196664802.52
2025-10-27,Zansec Bond Fund,117.3694,117.3694,117.3694,zansec,extracted,23082429872.77,196664802.52
2025-10-24,Zansec Bond Fund,117.2584,117.2584,117.2584,zansec,extracted,23129693034.0,197254039.23
2025-10-24,,117.2584,117.2584,117.2584,zansec,extracted,23129693034.0,197254039.23
2025-10-24,Zansec Bond Fund,117.2584,117.2584,117.2584,zansec,extracted,23129693034.0,197254039.23
2025-10-24,Zansec Bond Fund,117.2584,117.2584,117.2584,zansec,extracted,23129693034.0,197254039.23
2025-10-23,Zansec Bond Fund,117.2214,117.2214,117.2214,zansec,extracted,23092686887.51,197000606.44
2025-10-23,,117.2214,117.2214,117.2214,zansec,extracted,23092686887.51,197000606.44
2025-10-23,Zansec Bond Fund,117.2214,117.2214,117.2214,zansec,extracted,23092686887.51,197000606.44
2025-10-23,Zansec Bond Fund,117.2214,117.2214,117.2214,zansec,extracted,23092686887.51,197000606.44
2025-10-22,Zansec Bond Fund,117.1844,117.1844,117.1844,zansec,extracted,23084328860.11,196991484.02
