source,date,nav_per_unit,sale_price,repurchase_price,total_nav,units,status
zansec,2025-06-27,112.3534,112.3534,112.3534,16855755221.63,150024433.81,extracted
zansec,2025-06-26,112.2795,112.2795,112.2795,16636670212.3,148171929.98,extracted
zansec,2025-06-25,112.2425,112.2425,112.2425,16681513900.18,148620298.91,extracted
zansec,2025-06-24,112.2055,112.2055,112.2055,16671413438.37,148579289.24,extracted
zansec,2025-06-23,112.1685,112.1685,112.1685,16578020904.8,147795690.46,extracted
zansec,2025-06-20,112.0575,112.0575,112.0575,16298913567.57,145451340.32,extracted
zansec,2025-06-19,112.0205,112.0205,112.0205,16243074412.89,145000909.77,extracted
zansec,2025-06-18,111.9836,111.9836,111.9836,16343833297.27,145948454.04,extracted
zansec,2025-06-17,111.9466,111.9466,111.9466,16335287217.31,145920351.47,extracted
zansec,2025-06-16,111.9096,111.9096,111.9096,16330209091.94,145923219.21,extracted
zansec,2025-06-13,111.7986,111.7986,111.7986,16312008677.4,145905303.62,extracted
zansec,2025-06-12,111.7616,111.7616,111.7616,16306757230.04,145906619.36,extracted
zansec,2025-06-11,111.7247,111.7247,111.7247,16301243275.83,145905455.78,extracted
zansec,2025-06-10,111.6877,111.6877,111.6877,16295065544.3,145898478.92,extracted
zansec,2025-06-09,111.6507,111.6507,111.6507,16190471928.28,145010035.12,extracted
zansec,2025-06-06,111.5397,111.5397,111.5397,16162658512.8,144904984.62,extracted
zansec,2025-06-05,111.5027,111.5027,111.5027,16156553607.98,144898317.33,extracted
zansec,2025-06-04,111.4658,111.4658,111.4658,16036939326.94,143873181.97,extracted
zansec,2025-06-03,111.4288,111.4288,111.4288,16084924272.61,144351588.39,extracted
zansec,2025-06-02,111.3918,111.3918,111.3918,16078028492.75,144337630.71,extracted
zansec,2025-05-30,111.2808,111.2808,111.2808,16069383908.77,144403921.51,extracted
zansec,2025-05-29,111.2438,111.2438,111.2438,16061559624.22,144381616.09,extracted
zansec,2025-05-28,111.2068,111.2068,111.2068,16031698517.06,144161135.08,extracted
zansec,2025-05-27,111.1699,111.1699,111.1699,16012892310.27,144039819.32,extracted
zansec,2025-05-26,111.1329,111.1329,111.1329,15997087263.21,143945557.65,extracted
zansec,2025-05-23,111.0219,111.0219,111.0219,15976204842.27,143901382.0,extracted
zansec,2025-05-22,110.9849,110.9849,110.9849,16060585799.77,144709647.89,extracted
zansec,2025-05-21,110.9479,110.9479,110.9479,16050853806.5,144670190.3,extracted
zansec,2025-05-20,110.911,110.911,110.911,16044872767.64,144664395.49,extracted
zansec,2025-05-19,110.874,110.874,110.874,16036354839.19,144635846.45,extracted
zansec,2025-05-16,110.763,110.763,110.763,16029049381.97,144714836.02,extracted
zansec,2025-05-15,110.726,110.726,110.726,16029089449.39,144763555.53,extracted
zansec,2025-05-14,110.689,110.689,110.689,16009981561.97,144639318.83,extracted
zansec,2025-05-13,110.6521,110.6521,110.6521,16005650232.12,144648409.13,extracted
zansec,2025-05-12,110.6151,110.6151,110.6151,15957225218.25,144259013.63,extracted
zansec,2025-05-09,110.5041,110.5041,110.5041,15941179714.32,144258717.23,extracted
zansec,2025-05-08,110.4671,110.4671,110.4671,15934404658.82,144245704.46,extracted
zansec,2025-05-07,110.4301,110.4301,110.4301,15967859854.37,144596988.09,extracted
zansec,2025-05-06,110.3932,110.3932,110.3932,15955504263.3,144533397.56,extracted
zansec,2025-05-05,110.3562,110.3562,110.3562,15939961329.31,144441013.1,extracted
zansec,2025-05-02,110.2452,110.2452,110.2452,15931935421.02,144513642.51,extracted
zansec,2025-04-30,110.1712,110.1712,110.1712,15874707753.38,144091266.62,extracted
zansec,2025-04-29,110.1342,110.1342,110.1342,15868139101.04,144080032.37,extracted
zansec,2025-04-28,110.0973,110.0973,110.0973,15861176031.94,144065077.27,extracted
zansec,2025-04-25,109.9863,109.9863,109.9863,15833584092.02,143959603.08,extracted
zansec,2025-04-24,109.9493,109.9493,109.9493,16047066561.54,145949692.83,extracted
zansec,2025-04-23,109.9123,109.9123,109.9123,16007623116.86,145639961.29,extracted
zansec,2025-04-22,109.8753,109.8753,109.8753,15990344183.15,145531745.38,extracted
zansec,2025-04-17,109.6904,109.6904,109.6904,16016900274.17,146019161.88,extracted
