date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2025-04-03,Watoto Fund,739.2469,731.8544,739.2469,utt-amis,extracted,27798184231.7614,37603385.0519
2025-04-03,Jikimu Fund,183.8454,180.1685,183.8454,utt-amis,extracted,35074418675.7983,190782091.6773
2025-04-03,Liquid Fund,446.8109,446.8109,446.8109,utt-amis,extracted,1558156148722.68,3487283139.3376
2025-04-03,Bond Fund,120.0299,120.0299,120.0299,utt-amis,extracted,843699730008.178,7029082372.5094
2025-04-02,Umoja Fund,1137.2917,1125.9188,1137.2917,utt-amis,extracted,383547925063.672,337246750.2031
2025-04-02,Wekeza Maisha Fund,1000.7138,980.6995,1000.7138,utt-amis,extracted,21418336019.8737,21403058.995
2025-04-02,Watoto Fund,739.0634,731.6728,739.0634,utt-amis,extracted,27701580591.0775,37482008.5233
2025-04-02,Jikimu Fund,183.8043,180.1282,183.8043,utt-amis,extracted,34777863768.1409,189211420.043
2025-04-02,Liquid Fund,446.6787,446.6787,446.6787,utt-amis,extracted,1551754782003.69,3473983954.7175
2025-04-02,Bond Fund,119.9976,119.9976,119.9976,utt-amis,extracted,838462572398.232,6987327847.2675
2025-04-02,Umoja Fund,1137.2917,1125.9188,1137.2917,utt-amis,extracted,383547925063.672,337246750.2031
2025-04-02,Wekeza Maisha Fund,1000.7138,980.6995,1000.7138,utt-amis,extracted,21418336019.8737,21403058.995
2025-04-02,Watoto Fund,739.0634,731.6728,739.0634,utt-amis,extracted,27701580591.0775,37482008.5233
2025-04-02,Jikimu Fund,183.8043,180.1282,183.8043,utt-amis,extracted,34777863768.1409,189211420.043
2025-04-02,Liquid Fund,446.6787,446.6787,446.6787,utt-amis,extracted,1551754782003.69,3473983954.7175
2025-04-02,Bond Fund,119.9976,119.9976,119.9976,utt-amis,extracted,838462572398.232,6987327847.2675
2025-03-28,Umoja Fund,1135.5147,1124.1595,1135.5147,utt-amis,extracted,382919961355.512,337221495.8687
2025-03-28,Wekeza Maisha Fund,999.2272,979.2427,999.2272,utt-amis,extracted,21353450472.678,21369964.2204
2025-03-28,Watoto Fund,737.7581,730.3805,737.7581,utt-amis,extracted,27593204491.5842,37401424.8827
2025-03-28,Jikimu Fund,186.4952,182.7653,186.4952,utt-amis,extracted,35225782011.1725,188883044.9695
2025-03-28,Liquid Fund,446.0248,446.0248,446.0248,utt-amis,extracted,1547176380977.02,3468812455.2814
